age,production,comprehension,is_norming,sex,birth_order,caregiver_education,ethnicity
8,0,131,FALSE,Female,First,College,
8,0,247,FALSE,Female,First,College,
8,0,19,FALSE,Male,First,Some College,
8,0,133,FALSE,Female,Second,Some College,
8,2,192,FALSE,Male,First,Secondary,
8,2,104,FALSE,Female,First,College,
8,2,144,FALSE,Female,First,Graduate,
8,2,90,FALSE,Female,First,Some College,
8,3,51,FALSE,Female,Third,Secondary,
8,0,81,FALSE,Female,Second,Graduate,
8,0,88,FALSE,Female,Second,Some College,
8,0,131,FALSE,Male,Third,College,
8,0,86,FALSE,Male,First,College,
8,2,197,FALSE,Male,Second,College,
8,0,130,FALSE,Male,First,Secondary,
8,0,291,FALSE,Male,First,College,
8,2,21,FALSE,Female,First,College,
8,0,302,FALSE,Male,First,College,
8,0,13,FALSE,Female,First,Some College,
8,2,23,FALSE,Female,First,Some College,
8,0,48,FALSE,Female,First,College,
8,0,130,FALSE,Female,Second,College,
8,6,97,FALSE,Male,Third,Primary,
8,0,64,FALSE,Female,Second,Some College,
8,0,120,FALSE,Female,First,Graduate,
8,0,197,FALSE,Male,First,College,
8,0,166,FALSE,Female,First,Secondary,
8,0,58,FALSE,Female,First,Some College,
8,3,195,FALSE,Female,Second,College,
8,0,165,FALSE,Female,First,Some College,
8,1,132,FALSE,Male,Second,Graduate,
8,0,55,FALSE,Male,Second,Primary,
8,0,147,FALSE,Male,First,Some College,
8,0,161,FALSE,Male,Second,Secondary,
8,0,196,FALSE,Male,First,Some College,
8,1,47,FALSE,Female,First,Secondary,
8,0,159,FALSE,Male,Second,Some College,
8,0,21,FALSE,Male,First,Some College,
8,0,166,FALSE,Female,First,Secondary,
8,0,18,FALSE,Male,Second,College,
8,0,155,FALSE,Male,First,Secondary,
8,0,114,FALSE,Male,Second,College,
8,0,12,FALSE,Male,First,Some College,
8,0,142,FALSE,Male,Second,Secondary,
8,0,66,FALSE,Female,First,Secondary,
8,0,138,FALSE,Female,First,College,
8,0,249,FALSE,Female,First,Some College,
8,0,71,FALSE,Female,Second,Secondary,
8,7,189,FALSE,Female,Second,Secondary,
8,0,354,FALSE,Female,Second,Some College,
8,0,99,FALSE,Male,Third,College,
8,1,114,FALSE,Female,Second,Graduate,
8,0,162,FALSE,Male,First,College,
9,0,80,FALSE,Female,First,College,
9,7,61,FALSE,Male,Second,Primary,
9,0,141,FALSE,Female,First,Secondary,
9,0,201,FALSE,Female,Second,Secondary,
9,0,120,FALSE,Male,Second,Secondary,
9,0,67,FALSE,Female,First,College,
9,0,102,FALSE,Male,First,Graduate,
9,0,47,FALSE,Male,Second,College,
9,0,229,FALSE,Male,First,Graduate,
9,5,110,FALSE,Female,First,Graduate,
9,7,185,FALSE,Female,First,College,
9,0,289,FALSE,Male,First,Some College,
9,2,127,FALSE,Female,First,Secondary,
9,5,298,FALSE,Female,Second,Secondary,
9,1,12,FALSE,Female,First,Some College,
9,14,107,FALSE,Male,First,Some College,
9,0,85,FALSE,Male,First,Some College,
9,2,206,FALSE,Male,Third,Secondary,
9,0,70,FALSE,Female,First,College,
9,2,96,FALSE,Female,First,College,
9,1,100,FALSE,Male,First,Primary,
9,3,144,FALSE,Male,First,Some College,
9,0,248,FALSE,Male,Second,Secondary,
9,3,237,FALSE,Female,Second,Some College,
9,2,254,FALSE,Female,Second,Graduate,
