age,production,comprehension,is_norming,sex,birth_order,caregiver_education,ethnicity
24,426,426,FALSE,Male,First,Some Secondary,
24,196,196,FALSE,Male,First,Some Secondary,
24,297,297,FALSE,Male,First,Some Secondary,
24,245,245,FALSE,Female,First,Some Secondary,
24,383,383,FALSE,Male,First,Some Secondary,
24,360,360,FALSE,Male,First,Some Secondary,
24,109,109,FALSE,Female,First,Some Secondary,
24,298,298,FALSE,Male,First,Some Secondary,
24,68,68,FALSE,Male,First,Some Secondary,
24,63,63,FALSE,Male,First,Some Secondary,
24,330,330,FALSE,Female,First,Some Secondary,
24,265,265,FALSE,Male,Second,Some Secondary,
24,176,176,FALSE,Male,First,Some Secondary,
24,11,11,FALSE,Male,First,College,
16,43,43,FALSE,Male,First,College,
16,43,43,FALSE,Male,First,Graduate,
16,21,21,FALSE,Female,First,Some College,
16,13,13,FALSE,Male,First,Some Secondary,
16,17,17,FALSE,Male,First,Some College,
16,6,6,FALSE,Male,Second,Graduate,
16,28,28,FALSE,Female,First,Some College,
16,7,7,FALSE,Female,Second,Graduate,
16,4,4,FALSE,Female,First,Secondary,
16,14,14,FALSE,Male,First,Secondary,
16,20,20,FALSE,Male,First,Some Secondary,
16,6,6,FALSE,Female,First,Some Secondary,
16,31,31,FALSE,Female,First,Some Secondary,
16,16,16,FALSE,Female,First,Some Secondary,
16,11,11,FALSE,Male,First,Some Secondary,
16,107,107,FALSE,Female,First,Some Secondary,
16,27,27,FALSE,Male,First,Some Secondary,
16,65,65,FALSE,Female,First,Some College,
16,6,6,FALSE,Female,First,Some Graduate,
16,15,15,FALSE,Male,First,College,
16,6,6,FALSE,Male,First,Graduate,
16,46,46,FALSE,Male,First,Some Secondary,
16,19,19,FALSE,Male,First,Some College,
16,12,12,FALSE,Male,First,Some Secondary,
16,48,48,FALSE,Male,First,Some Graduate,
16,18,18,FALSE,Male,First,Graduate,
17,72,72,FALSE,Female,First,Secondary,
17,28,28,FALSE,Male,First,Some College,
17,42,42,FALSE,Female,First,Some Graduate,
17,5,5,FALSE,Female,Second,Some Secondary,
17,146,146,FALSE,Male,First,Some Secondary,
17,35,35,FALSE,Female,First,Some Graduate,
17,13,13,FALSE,Female,First,Some College,
17,25,25,FALSE,Female,First,Some College,
17,31,31,FALSE,Male,Second,Some Graduate,
17,11,11,FALSE,Female,Second,Some College,
17,3,3,FALSE,Female,First,Some College,
17,176,176,FALSE,Female,First,Some Secondary,
17,9,9,FALSE,Male,Second,Some College,
17,3,3,FALSE,Male,First,Some Secondary,
17,15,15,FALSE,Male,Second,Some Graduate,
17,4,4,FALSE,Male,First,Some Secondary,
17,35,35,FALSE,Female,Second,Some Secondary,
17,198,198,FALSE,Female,First,Some College,
17,21,21,FALSE,Male,First,Some Graduate,
17,29,29,FALSE,Female,First,Secondary,
17,52,52,FALSE,Female,,Some Secondary,
17,14,14,FALSE,Female,First,Some Secondary,
19,255,255,FALSE,Female,First,Some Graduate,
19,51,51,FALSE,Male,First,Some Graduate,
19,107,107,FALSE,Female,First,Some Graduate,
19,240,240,FALSE,Female,First,Some College,
19,40,40,FALSE,Male,First,Some College,
19,195,195,FALSE,Female,First,Some Secondary,
19,254,254,FALSE,Female,First,Some Graduate,
19,96,96,FALSE,Female,First,Some College,
19,100,100,FALSE,Female,First,Some Secondary,
19,90,90,FALSE,Male,First,Some College,
19,25,25,FALSE,Female,First,Some Secondary,
20,43,43,FALSE,Male,First,Some College,
20,131,131,FALSE,Male,First,Secondary,
20,22,22,FALSE,Male,First,Some Secondary,
20,73,73,FALSE,Female,First,Some Graduate,
20,135,135,FALSE,Female,First,Some College,
20,352,352,FALSE,Female,First,Secondary,
20,11,11,FALSE,Male,First,Some College,
20,131,131,FALSE,Male,First,Some Graduate,
20,74,74,FALSE,Female,,Some College,
20,3,3,FALSE,Male,First,Secondary,
20,10,10,FALSE,Male,First,Some Graduate,
